stt,nhom,vai_tro,duong_dan_website,duong_dan_tap_tin,dinh_dang,kich_thuoc_px,dung_luong_kb,trang_thai
62,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/16-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/16-anh-collage-showcase.webp,WEBP,1600 × 1200,165,DA_TICH_HOP
63,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-arcvera-construction/01-anh-bia-du-an.webp,public/images/projects/website-arcvera-construction/01-anh-bia-du-an.webp,WEBP,1080 × 1080,17,DA_TICH_HOP
64,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-arcvera-construction/brand/symbol.png,public/images/projects/website-arcvera-construction/brand/symbol.png,PNG,256 × 256,10,DA_TICH_HOP
65,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-arcvera-construction/brand/symbol.svg,public/images/projects/website-arcvera-construction/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
66,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-arcvera-construction/brand/wordmark.png,public/images/projects/website-arcvera-construction/brand/wordmark.png,PNG,1000 × 256,27,DA_TICH_HOP
67,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-arcvera-construction/brand/wordmark.svg,public/images/projects/website-arcvera-construction/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
68,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-auriva-land/01-anh-bia-du-an.webp,public/images/projects/website-auriva-land/01-anh-bia-du-an.webp,WEBP,1080 × 1350,20,DA_TICH_HOP
69,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-auriva-land/brand/symbol.png,public/images/projects/website-auriva-land/brand/symbol.png,PNG,256 × 256,8,DA_TICH_HOP
70,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-auriva-land/brand/symbol.svg,public/images/projects/website-auriva-land/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
71,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-auriva-land/brand/wordmark.png,public/images/projects/website-auriva-land/brand/wordmark.png,PNG,1000 × 256,21,DA_TICH_HOP
